chunk,count,mean,std,min,max,range
0,80,-0.8800127177412094,1.5418470072225692,-4.053661723222355,1.0854735288601844,5.139135252082539
1,80,-0.8727853901496975,1.0296995857462539,-2.196767577350986,1.2463358171971444,3.4431033945481304
2,80,-0.4256460703534956,1.634123141627205,-3.608687075759919,1.3930723773929563,5.001759453152875
3,80,-0.24842887040027364,0.9107867665967319,-2.1993629254344618,1.230732656633982,3.430095582068444
4,80,-0.30324456275988576,1.8124636766353266,-4.003684456111983,1.400982184885033,5.404666640997016
5,80,-0.09166470613762406,0.8647397266814277,-1.60368510194422,1.091057301816824,2.694742403761044
6,80,0.16807528321292237,0.7148805949809572,-1.200139310442792,1.1069142459206067,2.3070535563633987
7,80,0.14598692109068523,0.5541102237426128,-1.3917940163016451,1.2402059836983543,2.6319999999999997
8,80,-0.7688975852557491,1.0155313711179725,-3.5605178602960392,1.405638831990771,4.966156692286811
9,80,0.3879791093104518,1.1716181340668717,-2.44236072431089,1.4029843777014788,3.8453451020123683
10,80,-0.5121191605550729,1.1287373097846771,-2.395320865554647,1.401213586461865,3.7965344520165116
11,80,0.0704480328596629,0.8312972314201238,-1.6007283840855748,1.2412121386182633,2.841940522703838
12,80,0.17920733235828723,1.0703509732372292,-2.0343718772628168,1.401296855064226,3.4356687323270427
13,80,0.13735980997994618,0.6120003681313685,-0.8033455999587586,1.2384430129751938,2.0417886129339524
14,80,0.6890246774338906,0.650048455588137,-0.8495569870248052,1.400332615338877,2.249889602363682
15,80,-0.3030483890776541,1.39004869907523,-2.849556987024806,1.4020855421604104,4.251642529185217
16,80,-0.6839727226113562,1.0489076580222894,-2.188016758947133,1.4020855421604104,3.5901023011075432
17,80,-1.044481878572304,1.8780980779919296,-3.996016192673438,1.2449504626026064,5.240966655276044
18,80,-0.4010066772523809,0.900584202044623,-1.6458433937099908,1.2439274033705188,2.8897707970805095
19,80,-0.16839554273583554,0.9769608920828246,-2.049224072390174,1.2443324227539387,3.293556495144113
20,80,0.18043674534282075,0.967125485055613,-1.7820742636570197,1.4061341740518232,3.188208437708843
21,80,-0.5976509176923483,0.5924508303093781,-1.5956674991438902,0.3779197845098486,1.9735872836537387
22,80,-0.7366496111783138,1.1889375318992303,-3.7830428702942425,1.2572499432437425,5.0402928135379845
23,80,0.13049618214480618,1.0600879049706682,-2.5803295698391406,1.2619195944343904,3.842249164273531
24,80,-0.7132668779461413,1.3905383145671524,-3.6380804055656095,1.2461283111346593,4.884208716700269
25,80,-0.7728526657731177,1.3357780335731815,-2.7986060693433656,1.4052004353100025,4.203806504653368
26,80,-0.9098400340892365,1.105283193316057,-2.988370372643121,1.255629627356878,4.243999999999999
27,80,0.4540615840095577,0.6684305665668512,-0.850058883263737,1.3998664414698003,2.249925324733537
28,80,-0.3899482083012935,1.146911141815791,-1.7865122434639034,1.407318722419789,3.1938309658836923
29,80,-0.05976390277899204,0.8248534727983969,-1.990781244844236,1.306446274264728,3.297227519108964
30,80,-0.31017862432118903,0.9497812543611703,-2.9800535321418495,0.7702310164760001,3.7502845486178495
31,80,-1.521239871126343,1.310886324882189,-3.588053532141851,0.8582310164760011,4.446284548617852
32,80,-0.5999145440066317,1.6127240872040085,-3.563458851599305,1.2445411484006934,4.807999999999998
33,80,0.2363870186814478,1.6101123823172927,-3.7911779335844806,1.4064473607036097,5.19762529428809
34,80,-0.3189957444406173,1.0085907425610057,-2.045750203759257,1.2442333394087184,3.2899835431679754
35,80,0.4201310866028787,0.9084427514077715,-1.6478032803343798,1.256218541982952,2.9040218223173317
36,80,-0.0690259530921494,0.48572805038486516,-0.8457458612701865,1.11496097190532,1.9607068331755064
37,80,-0.4604890323520155,0.6841872262590195,-1.6351082465583142,1.0088357594301594,2.6439440059884736
38,80,0.2714967684599682,0.7669350741719979,-3.183165013443446,1.2668988584861889,4.450063871929635
39,80,0.37101010003218854,0.8712614706843965,-1.7751652066693973,1.41489865607761,3.1900638627470075
40,80,-1.013571564962381,0.8784562001217928,-2.735109096113641,0.5239526424406757,3.259061738554317
41,80,0.34766554284346796,0.7768349912900815,-1.158002274381487,1.4079712091373644,2.5659734835188512
42,80,-1.0667505558133548,1.1258423888929583,-4.425991897692354,0.6210260581908859,5.0470179558832395
43,80,-0.011072489411006954,0.8517947354119484,-1.9580015127872148,1.2599719291875575,3.217973441974772
44,80,-0.7641792936831698,1.5943356607352936,-4.026413630562732,1.2496277582354138,5.276041388798145
45,80,-0.31862051051782647,1.6810890251626716,-3.238656407568545,1.413241547966665,4.65189795553521
46,80,-1.4621116863980674,1.6624813788953323,-4.432844742457311,0.6261268187459788,5.05897156120329
47,80,-1.1128759422473138,1.3532312981798547,-3.6426372060972216,1.0154861364564551,4.658123342553677
48,80,0.4844490744639568,0.6534763439635266,-1.2206590044819188,1.250286606172288,2.4709456106542067
49,80,-0.6269141240059934,1.5584494882519904,-3.5877614746274813,1.2522385253725186,4.84
50,80,-0.08930149550159082,1.0022196957811702,-3.5557593842380633,1.250284573340958,4.806043957579021
51,80,-0.16071172144302723,0.77080011438052,-1.782661304721235,1.2532365797558331,3.035897884477068
52,80,-0.018775294551469864,0.7905401819373784,-1.19159768433255,1.2513409955180796,2.44293867985063
53,80,-0.33125293874167294,0.9252962566887941,-1.929074444765134,1.2541289208411546,3.1832033656062886
54,80,-1.286538041284864,1.1475590426823605,-3.22805974968817,0.7780245482995936,4.006084297987764
55,80,0.31155898041281754,1.0282633307691906,-1.5915232054121162,1.4123676285752516,3.003890833987368
56,80,-0.5872258498768262,1.2669243832077057,-2.575704375557679,1.2525429339628524,3.8282473095205316
57,80,0.5220044312122172,0.9153005832479484,-1.1911681768574012,1.4107214568336608,2.601889633691062
58,80,0.629474863164156,0.6203304296038912,-0.4372741471659608,1.2654528939867364,1.7027270411526971
59,80,0.03934162941979645,1.0779207518655052,-1.638231837531803,1.413448073818556,3.0516799113503588
60,80,-0.4456817093498057,1.246931842865163,-3.236366379771752,1.255313646003446,4.491680025775198
61,80,0.32852191660846375,1.215346268091501,-5.13668635399655,1.2516336202282468,6.388319974224797
62,80,0.03212101103555993,0.7379831018624099,-1.3776324913428042,1.4143675086571954,2.792
63,80,0.08348482275789353,0.956423112735043,-2.177637086468417,1.418269174075629,3.595906260544046
64,80,0.460613253545154,0.8403603236840036,-1.5497312388879192,1.267310157143151,2.8170413960310703
65,80,-0.07331399451644686,0.9137352641948508,-2.009759247987216,1.2702746337755686,3.2800338817627845
66,80,0.46200433342101743,0.8081281532286245,-1.6116956906447202,1.4162871943967044,3.0279828850414248
67,80,-0.7587544007345839,1.3982036449607882,-3.5896452909630656,1.006238520268576,4.595883811231642
68,80,0.018618948755259292,1.0397484007895952,-1.936798852870504,1.258401214984358,3.195200067854862
69,80,-1.4858722683232697,1.3318809962678262,-4.745557879457544,0.7784014756468888,5.523959355104433
70,80,-0.3208430787110369,1.0830359883384235,-2.328544221696169,1.2563319113842697,3.5848761330804386
71,80,0.16112199031072694,1.4728568830037823,-2.785693291053043,1.4143067089469568,4.2
72,80,0.6682919824062175,0.6964613241037427,-0.4255592085575714,1.4183999229042734,1.8439591314618449
73,80,-0.6446777759114809,2.1178594983912626,-5.77359878501564,1.2663065310385808,7.03990531605422
74,80,0.09876150340826388,0.5104533129313497,-0.7877396338824554,0.9653575238601196,1.753097157742575
75,80,-0.534521411369553,1.1298699361167734,-2.0367984116265636,1.2653021015493888,3.3021005131759527
76,80,-0.28564063722266037,1.0834172728606186,-1.9785601128682515,1.259455778303832,3.2380158911720835
77,80,0.27324678742041664,1.0709629140362953,-2.8166674131219107,1.2573549595566225,4.074022372678533
78,80,-0.8901884348515028,1.1284272541574603,-2.8285413859644915,0.9623091740633124,3.790850560027804
79,80,0.22182194382218365,0.8136452870847852,-1.1377520467710802,1.2533013738349246,2.3910534206060046
80,80,0.14811653637386896,1.018420879321703,-1.5872701576033648,1.2506575725961138,2.8379277301994783
81,80,0.1574546105929761,0.8761640597851946,-2.748605491890332,1.2693806929759153,4.017986184866247
82,80,-0.37708946605892546,1.2351607716893598,-2.285599006090277,1.4164119165150364,3.7020109226053135
83,80,-0.5055137539074968,1.0407715359319996,-1.777408805829374,1.4184015153711809,3.195810321200555
84,80,-0.5969092238630609,1.5275219995423206,-3.9223288491291703,1.2755919330925165,5.197920782221686
85,80,-0.24984379652543282,1.2975667112305889,-2.9619219253643188,1.4278081584349889,4.389730083799307
86,80,0.5601575036202078,0.6957861495645431,-0.8201923497265808,1.2656706153295825,2.0858629650561635
87,80,-0.8404820464586227,2.360158229327824,-6.563090503786375,1.4246548814359248,7.9877453852223
88,80,-0.5105300309484635,1.308046134615681,-3.2684086306144264,1.11139476296851,4.379803393582936
89,80,-0.8594566145997622,2.3481323783587578,-6.021250195533825,1.132654881435925,7.15390507696975
90,80,0.04745611052867954,1.2391772585422614,-2.722328955747093,1.4246547512461691,4.146983706993263
91,80,0.7672792038060932,0.6416285847291325,-0.8094139782076977,1.420423133497955,2.2298371117056526
92,80,-1.0632863117307925,1.0457477215206674,-3.6233456680571674,0.0755913693855724,3.69893703744274
93,80,-0.3639415310848534,0.7158031752372012,-1.623348054163202,0.7804254654112728,2.4037735195744747
94,80,-0.8137099960578297,1.3715663579354604,-3.0779574913818184,1.132060439385181,4.210017930766999
95,80,0.13960465080326812,0.3694660817945935,-0.5652308658935511,1.1154850329008736,1.6807158987944248
96,80,0.10489020488253371,0.7511847568017185,-1.5275240238061727,0.7814119107803915,2.308935934586564
97,80,0.20079301177293005,0.6707491910494008,-1.6663617064268623,1.2744322134925017,2.940793919919364
98,80,-0.41617921540686326,0.9688497413561453,-2.0223623411762626,1.277637658823738,3.3000000000000007
99,80,-0.34196380889502065,1.8793168814901837,-3.978587781716812,1.417398983128846,5.395986764845658
100,80,-0.6663096583111827,0.602134622613978,-1.6265887042491445,0.5354845940123292,2.1620732982614737
101,80,-0.48384032785012315,0.7556849663909211,-1.5868180334022723,1.1104515032249689,2.6972695366272412
102,80,0.35077497537378954,1.1912356181501036,-1.9285063744124396,1.4184510082628592,3.3469573826752987
103,80,-0.36478340789236163,1.4505559562953019,-2.825568196975311,1.2584515032249688,4.08401970020028
104,80,-1.3210313121536552,0.7465836344180617,-2.8095686471659658,-0.3306015245168258,2.47896712264914
105,80,-0.7271752929796784,0.7237418016890227,-2.409568647165965,0.6314936255875618,3.0410622727535266
106,80,-1.7143134138523177,1.2175284516360003,-3.629548166810997,0.2204766047337799,3.850024771544777
107,80,-0.11910624679510244,0.6502578677327581,-1.606362479918816,1.1154853254837436,2.7218478054025597
108,80,-0.7561176043617095,0.5565902597933077,-1.6236892961625429,0.6352420189137231,2.258931315076266
109,80,-0.4849864057560964,1.9271220668665532,-3.776077787731287,1.2739171396510245,5.049994927382311
110,80,-0.26481890726812285,0.6415179195409598,-1.624078244792712,0.7798007542207432,2.4038789990134553
111,80,-0.3092641399537642,0.7177653510007568,-1.5250837947401072,1.0223279016401154,2.5474116963802227
112,80,-0.42303662166540795,1.6203295707927938,-3.8365046660443953,1.4283268623164234,5.264831528360819
113,80,0.6091431740728003,0.8708369084703333,-1.52084160961728,1.4239228619244653,2.9447644715417454
114,80,-1.4229441813016686,1.6498737200839,-5.37436029398319,0.2219171396510245,5.5962774336342145
115,80,-0.031207116202596197,0.9548227397950351,-1.476078244792712,1.2769976339200353,2.7530758787127474
116,80,0.09616487931960979,1.8356895007726397,-4.471102599009493,1.2718012604129147,5.742903859422407
117,80,0.7693891297738962,0.7347427794734795,-0.7801987395870846,1.275922212268713,2.0561209518557977
118,80,0.9498064559494772,0.3980989401022277,-0.5659598638320444,1.4239128473766482,1.9898727112086927
119,80,0.009929777752508645,0.9810368995159587,-2.020842280518841,1.4229157365225418,3.443758017041383
120,80,-0.42397689173308484,1.166145350804729,-2.72195020511255,1.2649985234033323,3.9869487285158822
121,80,0.09723648791515008,1.227729284432268,-2.184643374527345,1.2585748475624172,3.4432182220897625
122,80,-0.25140939254154304,1.4075912738921317,-2.279552561179551,1.4236762286049216,3.7032287897844727
123,80,-0.1821095992813146,1.2998861970078415,-2.5763237713950775,1.2657849985224552,3.842108769917533
124,80,0.4982694678500744,0.8522000803794173,-0.97632683959001,1.4257819797002969,2.402108819290307
125,80,0.18578869818468452,0.6329983185713917,-0.966218182638922,1.427891683234137,2.394109865873059
126,80,0.10341383806247932,0.7194607121923339,-0.9763324692604344,1.265776522896884,2.2421089921573185
127,80,-1.2946273179043655,1.1010382171498176,-3.178410793491408,0.078859463237395,3.257270256728803
128,80,-0.6669317485998781,0.4053351051733945,-1.660697584899557,-0.1652096323718366,1.4954879525277205
129,80,-0.6638270602206849,0.7793255590667947,-1.7721122724850116,0.2278877275149879,1.9999999999999996
130,80,-0.46539091445300224,1.0614598275374352,-1.8731405367626055,1.2788594632373949,3.152
131,80,-1.1809934692337025,0.6231660165341845,-3.605137543071373,-0.1795525611795507,3.4255849818918223
132,80,-0.09171634869486842,1.0579611659727712,-1.8763268395900097,1.4227239909414502,3.29905083053146
133,80,-0.14404660596923363,1.0757551262966,-1.3753112699600705,1.426862298962817,2.8021735689228873
134,80,-0.891070569866143,1.340779005366115,-2.7762420188279058,0.7881364912522,3.5643785100801058
135,80,-0.8272913622213558,0.7562442649215619,-2.1627203375941044,0.2248961598198446,2.387616497413949
136,80,-0.18368843837018595,1.1885901501047256,-2.1773121216868567,1.4226878783131442,3.600000000000001
137,80,-0.33238119542828437,1.803376710406317,-3.779585911426788,1.2604140885732116,5.039999999999999
138,80,-0.34641781345804845,1.3982823929234278,-2.372956147403341,1.2648961598198454,3.637852307223186
139,80,0.27491304191532184,1.3775862902641893,-1.8729561474033407,1.4281481327558094,3.30110428015915
140,80,-0.5032457404208278,1.4116310950703685,-2.5696553466293452,1.1223446533706536,3.691999999999999
141,80,-0.29738065989007023,0.8469168961491693,-2.314423753719712,0.7903446533706545,3.1047684070903667
142,80,0.03894017225135034,1.1400684464717161,-1.367541691086202,1.4324583089137983,2.8000000000000003
143,80,-0.4222616263939726,0.9028421543951944,-1.3675434145682963,1.2703416301634611,2.6378850447317577
144,80,-0.7654933523103674,1.3246704025988352,-2.8584237537197095,1.268151194345751,4.1265749480654605
145,80,-0.198955357202532,1.027058663738395,-1.919848805654249,1.267046933549978,3.1868957392042274
146,80,0.19600576347963736,0.7130771671057702,-0.9736572700869448,1.2641151029463191,2.237772373033264
147,80,-0.07950226667502681,1.2522618283541818,-1.7744876786230377,1.2677972554363452,3.042284934059383
148,80,-0.5063942917930616,1.0912231153118808,-1.7698266796383344,1.430173320361665,3.1999999999999993
149,80,-1.8436472476999697,1.2802281907534059,-4.167451644690243,-0.5698258316551703,3.597625813035073
150,80,0.7888980749801208,0.011309669532606374,0.6890057749621546,0.7901625344740202,0.10115675951186553
151,80,-0.008237130996125813,0.8286399943181585,-0.9698258316551708,1.4325483553097575,2.4023741869649284
152,80,-1.1072494336768801,1.5042448285132386,-3.3698249429950873,1.2677990073629612,4.637623950358049
153,80,-0.6431982542679258,0.9292377705271835,-2.397207060487538,0.7901750570049114,3.1873821174924495
154,80,0.5602497098567888,1.063479602206205,-1.3722018930720077,1.4277981069279926,2.8000000000000003
155,80,0.31057962656210725,1.0982651857801746,-1.3674524422897143,1.430173320361665,2.7976257626513794
156,80,-0.6038895246930212,1.167496342083461,-2.168179233877069,1.2718207661229315,3.4400000000000004
157,80,-0.2583323186448207,1.1384823717087622,-1.7714792935191936,1.2685207064808053,3.039999999999999
158,80,0.7640128938016443,0.5366755068176547,-0.1690990495231927,1.2733812819220125,1.4424803314452053
159,80,-0.49397048432194346,1.6247692598423542,-2.973798422362818,1.2685207064808053,4.242319128843623
160,80,-0.3787903327788552,1.4529306285582728,-2.5666177582702727,1.4285229410749518,3.9951406993452245
161,80,-0.08204716586278189,0.9394515172160826,-0.9690990495231924,1.2733812819220125,2.242480331445205
162,80,-0.3166029012057169,1.5910429764807619,-2.9725970503530923,1.281584350480681,4.254181400833773
163,80,-1.2903270454782034,0.8606572929618072,-2.5725947822661994,-0.1704135126676052,2.4021812695985942
164,80,-0.6725618708310903,0.5305877808036035,-2.802415087006795,-0.1631132946863487,2.6393017923204463
165,80,-1.1361924799924112,2.1212996582979042,-4.5588635865327145,1.0491364134672867,5.608000000000001
166,80,0.2341054448444777,0.7023425641570055,-1.7544609887522706,0.7975390112477289,2.5519999999999996
167,80,-1.3899279337490735,2.424226102214431,-6.157619667866276,0.2449378494936993,6.402557517359975
168,80,0.30315999416228295,1.1129981984358166,-1.8649646585850144,1.4400263551272483,3.3049910137122627
169,80,0.3942017503125475,0.5664374124025192,-0.1663343651221776,1.2736656348778224,1.44
170,80,0.3149777197297431,0.9625897451310663,-0.9636527884593064,1.4388396220527149,2.4024924105120213
171,80,-0.561193816342241,0.7645009117390905,-1.76116700363329,0.2411914734841759,2.002358477117466
172,80,-0.7581876503579612,1.23187238089402,-2.1634350634514123,1.2740332335092597,3.437468296960672
173,80,-0.24302127456775588,1.2315181966211604,-2.1631010320621007,1.4368989679378987,3.5999999999999996
174,80,0.48440793943056565,0.917742114942321,-0.9580179491034786,1.4466819262407755,2.404699875344254
175,80,-0.033536418494040064,0.996355145314447,-1.7555601362863185,1.2844398637136818,3.04
176,80,-0.8636532877647525,1.2100156946216993,-2.8537954318224754,0.7968848059723356,3.650680237794811
177,80,-0.6099665319222616,0.8346567767600137,-1.3635753816218623,0.7991060345441385,2.162681416166001
178,80,-1.7589976685113335,2.719413997959609,-6.961641054861529,0.2410180907715957,7.202659145633125
179,80,-0.18817016219196683,0.9330301016231928,-1.4524272893245411,1.2889140020681709,2.741341291392712
180,80,-1.0326785054948233,1.8595945473413318,-3.753906623139531,1.2860933768604692,5.04
181,80,0.9327275452272292,0.5875130163999251,-0.1538489829566678,1.4461510170433325,1.6000000000000003
182,80,0.08851864715741675,1.0515926209557627,-1.8523687220626712,1.2906519257840574,3.1430206478467286
183,80,0.021711932571545606,0.7914913261133395,-0.7492278225839144,1.4621461625592036,2.2113739851431182
184,80,-0.07290722080439091,0.9053340104015468,-1.3337757678752606,0.8216827879796964,2.155458555854957
185,80,-2.1642757936207966,2.5232104277002807,-4.6215982602704555,1.308387612140606,5.929985872411061
