chunk,shield_rate
0,0.8
1,0.8
2,0.4
3,0.6
4,0.6
5,0.6
6,0.4
7,0.8
8,0.8
9,0.4
10,0.8
11,0.6
12,0.4
13,0.6
14,0.4
15,0.6
16,0.8
17,0.6
18,0.8
19,0.6
20,0.6
21,1.0
22,0.8
23,0.6
24,0.6
25,0.8
26,0.8
27,0.6
28,0.6
29,0.6
30,0.8
31,1.0
32,0.4
33,0.4
34,0.6
35,0.4
36,0.8
37,0.8
38,0.4
39,0.4
40,1.0
41,0.6
42,1.0
43,0.6
44,0.6
45,0.6
46,1.0
47,0.8
48,0.4
49,0.8
50,0.6
51,0.8
52,0.6
53,0.8
54,0.8
55,0.4
56,0.6
57,0.4
58,0.4
59,0.6
60,0.8
61,0.4
62,0.8
63,0.6
64,0.4
65,0.8
66,0.2
67,0.8
68,0.6
69,0.8
70,0.6
71,0.4
72,0.4
73,0.6
74,0.8
75,0.8
76,0.6
77,0.4
78,1.0
79,0.6
80,0.4
81,0.6
82,0.6
83,0.8
84,0.8
85,0.6
86,0.4
87,0.8
88,0.6
89,0.6
90,0.4
91,0.2
92,1.0
93,0.8
94,0.8
95,0.8
96,0.4
97,0.8
98,0.8
99,0.4
100,1.0
101,0.8
102,0.4
103,0.6
104,1.0
105,1.0
106,1.0
107,0.8
108,1.0
109,0.6
110,0.8
111,0.8
112,0.6
113,0.2
114,1.0
115,0.6
116,0.2
117,0.2
118,0.0
119,0.6
120,0.8
121,0.4
122,0.6
123,0.6
124,0.4
125,0.8
126,0.8
127,1.0
128,1.0
129,1.0
130,0.8
131,1.0
132,0.8
133,0.6
134,0.8
135,1.0
136,0.8
137,0.6
138,0.6
139,0.4
140,0.6
141,0.8
142,0.6
143,0.8
144,0.8
145,0.6
146,0.8
147,0.4
148,0.8
149,1.0
150,0.0
151,0.8
152,0.8
153,0.8
154,0.4
155,0.4
156,0.8
157,0.6
158,0.2
159,0.6
160,0.6
161,0.6
162,0.6
163,1.0
164,1.0
165,0.6
166,0.4
167,1.0
168,0.4
169,0.6
170,0.6
171,1.0
172,0.8
173,0.8
174,0.4
175,0.8
176,0.8
177,0.8
178,1.0
179,0.8
180,0.6
181,0.2
182,0.6
183,0.8
184,0.6
185,0.8
