Trigger,Method,MAE,P95_abs_err,InBand,UpFrac,DownFrac,tt,h_to_4b
AD,Constant,0.16389315389347575,0.216,0.016129032258064516,0.0,0.9838709677419355,90.20125398056724,17.09792379976564
AD,PID,0.03089504163042734,0.068,0.45698924731182794,0.016129032258064516,0.5268817204301075,93.53711374416078,22.506201953835834
AD,DQN,0.011162188107062146,0.023999999999999994,0.9838709677419355,0.0,0.016129032258064516,93.70365540858582,22.658616980486265
AD,GRPO,0.010779407867001111,0.02200000000000002,1.0,0.0,0.0,93.70492218927544,22.637319837227718
AD,GFPO,0.002775091332868595,0.008000000000000007,1.0,0.0,0.0,93.81394531030075,22.807742351964066
HT,Constant,0.17902794153038365,0.236,0.016129032258064516,0.0,0.9838709677419355,94.45692733152583,18.398022511867545
HT,PID,0.025004765426373265,0.055499999999999994,0.5860215053763441,0.016129032258064516,0.3978494623655914,97.82441859606355,24.906329572952664
HT,DQN,0.01166264443613795,0.023999999999999994,0.9838709677419355,0.010752688172043012,0.005376344086021506,98.04323588805073,26.228280584850385
HT,GRPO,0.011189526156568057,0.023999999999999994,0.978494623655914,0.010752688172043012,0.010752688172043012,98.03698492539739,26.2235719063188
HT,GFPO,0.003393827231836874,0.010000000000000009,0.989247311827957,0.005376344086021506,0.005376344086021506,98.08298213294147,26.378617336974216
